07022023	12:30:51	5cf6f881-97c6-4c4a-b417-40d57e409b24	/new-page	GET
07022023	12:30:51	47374dc7-a0f7-45f0-9d83-45ba1fbda5ca	/css/style.css	GET
07022023	12:30:51	19e574ad-765a-4aab-9eb6-95a84fdc7f35	/img/sevenSister.jpg	GET
09022023	15:10:17	4f3f7956-0006-44c8-aacf-afa6e93acac1	POST	undefined	/employees
09022023	15:10:32	c69ba6de-bc17-4cfe-a4ce-d918929b8ad7	POST	undefined	/employees
09022023	15:10:44	31afa239-5fc0-49cc-92c7-491397f46426	POST	undefined	/employees
09022023	15:10:56	592fe439-81e1-4fa7-8dcc-056d21025b81	POST	undefined	/auth
09022023	15:10:59	04670d99-40a7-407c-8f12-f07e40390432	POST	undefined	/employees
09022023	15:11:07	b641da41-5b32-429a-8cf2-8a6f1e9a1450	POST	undefined	/employees
09022023	15:12:16	b9084bd0-adf2-4b54-872a-e022017522bf	POST	undefined	/auth
09022023	15:12:31	7f22ee39-50b9-4e2a-8f16-126f397a1394	POST	undefined	/employees
09022023	15:12:50	3bf9684d-c57b-4d73-97ae-4e0feff30ed5	POST	undefined	/employees
09022023	15:13:13	1b8912fc-d13e-4c8e-a28a-c773aa18fa53	POST	undefined	/employees
